filename,module_name,module_params,execution_time,retrieval_f1,retrieval_recall,retrieval_precision,retrieval_ndcg,retrieval_map,retrieval_mrr,is_best
0.parquet,VectorDB,"{'top_k': 10, 'vectordb': 'default'}",0.036234374046325686,0.170909090909091,0.94,0.09399999999999999,0.6208406383095935,0.5193968253968254,0.5193968253968254,False
1.parquet,BM25,{'top_k': 10},0.01126420259475708,0.16727272727272738,0.92,0.09199999999999997,0.6028729157544482,0.5035079365079366,0.5035079365079366,False
2.parquet,HybridRRF,"{'top_k': 10, 'weight': 22.0, 'target_modules': ('VectorDB', 'BM25'), 'target_module_params': ({'top_k': 10, 'vectordb': 'default'}, {'top_k': 10})}",0.047498576641082764,0.17454545454545464,0.96,0.09599999999999997,0.6558024238057056,0.5588571428571428,0.5588571428571428,False
3.parquet,HybridCC,"{'top_k': 10, 'normalize_method': 'z', 'weight': 0.61, 'target_modules': ('VectorDB', 'BM25'), 'target_module_params': ({'top_k': 10, 'vectordb': 'default'}, {'top_k': 10})}",0.047498576641082764,0.17454545454545464,0.96,0.09599999999999997,0.6650008695502564,0.5708015873015873,0.5708015873015873,True
4.parquet,HybridCC,"{'top_k': 10, 'normalize_method': 'tmm', 'weight': 0.97, 'target_modules': ('VectorDB', 'BM25'), 'target_module_params': ({'top_k': 10, 'vectordb': 'default'}, {'top_k': 10})}",0.047498576641082764,0.17454545454545464,0.96,0.09599999999999997,0.6622993175513838,0.5670119047619048,0.5670119047619048,False
5.parquet,HybridCC,"{'top_k': 10, 'normalize_method': 'dbsf', 'weight': 0.61, 'target_modules': ('VectorDB', 'BM25'), 'target_module_params': ({'top_k': 10, 'vectordb': 'default'}, {'top_k': 10})}",0.047498576641082764,0.17454545454545464,0.96,0.09599999999999997,0.6650008695502564,0.5708015873015873,0.5708015873015873,False
6.parquet,HybridCC,"{'top_k': 10, 'normalize_method': 'mm', 'weight': 0.65, 'target_modules': ('VectorDB', 'BM25'), 'target_module_params': ({'top_k': 10, 'vectordb': 'default'}, {'top_k': 10})}",0.047498576641082764,0.17454545454545464,0.96,0.09599999999999997,0.6486468464144334,0.548373015873016,0.548373015873016,False
